City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,merizo village,13.2658,144.6691,85.98,88,67,15.9,GU,1689461171
280,lalsot,26.5667,76.3333,78.42,88,100,5.53,IN,1689461172
281,vallenar,-28.5708,-70.7581,60.69,43,1,1.01,CL,1689461172
282,illizi,26.4833,8.4667,89.4,10,0,9.75,DZ,1689461173
283,mili,6.0815,171.735,83.19,75,100,17.45,MH,1689461173
284,arkhangel'sk,64.5401,40.5433,58.06,78,92,3.74,RU,1689461052
285,al jawf,29.5,38.75,88.83,13,3,9.44,SA,1689461174
286,campoverde,-8.4753,-74.8058,74.89,65,75,0.51,PE,1689461174
287,as sulayyil,20.4607,45.5779,91.65,10,58,3.27,SA,1689461175
288,dingli,35.8614,14.3822,79.81,21,0,5.75,MT,1689461175
289,balqash,46.8481,74.995,70.36,42,0,3.42,KZ,1689461176
290,ulladulla,-35.35,150.4667,57.09,76,96,4.59,AU,1689461176
291,kalininsk,51.5,44.4758,57.47,95,100,12.06,RU,1689461177
292,ploneour-lanvern,47.9,-4.2833,59.32,94,100,11.5,FR,1689461177
293,suva,-18.1416,178.4415,69.28,94,75,2.3,FJ,1689460881
294,pompeu,-19.2244,-44.9353,65.37,72,67,8.59,BR,1689461178
295,ayr,55.4627,-4.6339,58.98,88,75,8.05,GB,1689460883
296,shahr-e babak,30.1165,55.1186,75.88,16,2,6.93,IR,1689461179
297,buala,-8.145,159.5921,79.52,86,100,3.74,SB,1689461180
298,nurota,40.5614,65.6886,73.99,26,0,10.45,UZ,1689461180
299,luanda,-8.8368,13.2343,69.8,88,75,3.44,AO,1689461181
300,pasni,25.2631,63.471,81.54,80,97,9.17,PK,1689461181
301,tucuma,-0.1833,-50.05,77.63,87,62,7.63,BR,1689461182
302,winnemucca,40.973,-117.7357,99.01,9,0,6.71,US,1689461183
303,sai buri,6.7013,101.6168,78.51,88,99,8.32,TH,1689461183
304,qacha's nek,-30.1154,28.6894,36.34,70,4,7.65,LS,1689461184
305,francisco beltrao,-26.0811,-53.055,54.54,71,70,0.31,BR,1689461184
306,ciudad rodrigo,40.6,-6.5333,59.77,57,0,3.4,ES,1689461185
307,ormara,25.2088,64.6357,82.27,77,55,13.31,PK,1689461186
308,bubaque,11.2833,-15.8333,80.46,80,100,14.23,GW,1689461186
309,yeniseysk,58.4497,92.1703,55.62,98,98,2.28,RU,1689461187
310,kalmunai,7.4167,81.8167,80.28,81,97,6.4,LK,1689461187
311,evanston,42.0411,-87.6901,85.1,64,75,12.66,US,1689460847
312,tamandare,-8.7597,-35.1047,76.05,86,8,7.31,BR,1689461188
313,puerto baquerizo moreno,-0.9,-89.6,79.79,78,75,14.97,EC,1689461189
314,sisimiut,66.9395,-53.6735,40.3,94,100,5.88,GL,1689461189
315,vrangel',42.7297,133.0839,59.81,92,100,19.75,RU,1689461190
316,porto tolle,44.9497,12.3245,77.36,85,0,5.21,IT,1689461190
317,carbonear,47.7332,-53.2148,75.04,85,87,6.78,CA,1689461190
318,sabha,27.0377,14.4283,85.15,20,0,8.77,LY,1689461191
319,syanno,54.8106,29.7069,55.67,64,24,2.98,BY,1689461191
320,rawson,-43.3002,-65.1023,43.16,61,4,10.85,AR,1689461192
321,embi,48.8264,58.1442,68.65,52,72,10.74,KZ,1689461192
322,san-pedro,4.7485,-6.6363,75.81,90,28,6.22,CI,1689461193
323,awjilah,29.1081,21.2869,81.36,61,2,11.99,LY,1689461193
324,altamira,-3.2033,-52.2064,77.86,69,77,2.64,BR,1689460982
325,agat village,13.3886,144.6585,86.36,82,20,12.66,GU,1689461194
326,tazovsky,67.4667,78.7,42.1,83,63,8.57,RU,1689461195
327,la ronge,55.1001,-105.2842,66.45,48,75,12.66,CA,1689461195
328,qamdo,31.1667,97.2333,38.71,82,75,3.02,CN,1689461195
329,tweed heads,-28.1817,153.547,66.0,88,100,0.0,AU,1689461196
330,fort mcmurray,56.7268,-111.381,67.59,59,100,4.61,CA,1689461004
331,mizdah,31.4451,12.9801,77.9,33,0,7.18,LY,1689461197
332,yanchep,-31.55,115.6833,48.33,59,0,10.4,AU,1689461197
333,kuusamo,65.9667,29.1833,55.44,88,0,1.14,FI,1689461198
334,susuman,62.7833,148.1667,70.65,63,86,8.01,RU,1689461198
335,walvis bay,-22.9575,14.5053,54.09,76,0,2.3,NA,1689461198
336,san patricio,28.017,-97.5169,99.16,47,12,17.43,US,1689461199
337,utrik,11.2278,169.8474,83.14,74,18,15.61,MH,1689461199
338,casper,42.8666,-106.3131,88.39,17,20,16.11,US,1689461031
339,alaghsas,17.0187,8.0168,93.06,26,96,7.49,NE,1689461200
340,mandera,3.9366,41.867,80.1,57,94,18.25,KE,1689461200
341,nelson bay,-32.7167,152.15,63.0,76,87,7.0,AU,1689461201
342,tlahualilo de zaragoza,26.1167,-103.45,99.59,17,98,8.46,MX,1689461201
343,barranca,-10.75,-77.7667,68.14,81,15,10.96,PE,1689461158
344,minas de marcona,-15.2119,-75.1103,56.68,79,12,9.1,PE,1689461202
345,muisne,0.6,-80.0333,78.06,87,80,6.13,EC,1689461203
346,jordan,31.0,36.0,79.86,30,1,9.1,JO,1689461182
347,severnoye,56.3491,78.3619,55.42,98,100,5.61,RU,1689461203
348,santa maria,-29.6842,-53.8069,47.5,100,75,2.3,BR,1689461025
349,hadibu,12.65,54.0333,77.74,81,28,22.15,YE,1689461204
350,urzhar,47.093,81.6294,67.21,28,0,2.46,KZ,1689461205
351,mo i rana,66.3128,14.1428,55.33,77,26,5.01,NO,1689461205
352,gamba,-2.65,10.0,67.69,96,8,2.46,GA,1689461206
353,quelimane,-17.8786,36.8883,66.15,93,75,5.01,MZ,1689461206
354,nanuque,-17.8392,-40.3539,70.3,71,100,8.68,BR,1689461207
355,beas de segura,38.2524,-2.8888,75.16,35,0,4.29,ES,1689461208
356,scarborough,54.2797,-0.4044,61.66,84,97,8.99,GB,1689461003
357,canico,32.6333,-16.85,72.72,76,20,13.8,PT,1689461208
358,sikonge,-5.6333,32.7667,63.54,46,0,3.51,TZ,1689461209
359,soe,-9.8607,124.284,64.22,86,75,3.49,ID,1689461209
360,pionerskiy,54.9508,20.2275,65.75,61,68,15.28,RU,1689461210
361,touros,-5.1989,-35.4608,77.99,82,3,14.16,BR,1689460979
362,gadzhiyevo,69.2551,33.3362,54.41,97,96,3.96,RU,1689461232
363,hammerfest,70.6634,23.6821,54.05,82,100,3.44,NO,1689461233
364,aldama,22.9167,-98.0667,98.49,52,45,13.65,MX,1689461233
